method,eval_tier,family,role,loss_type,steps,num_images,time_per_image_s,lora_rank,mix_prob,teacher_substeps,fid,kid_mean,kid_std,is_mean,is_std,precision,recall
DDIM-100,final_10k,Base-DDIM,step_ablation,none,100,10000,0.05150405797958374,0,0.0,0,29.328191103049335,0.0159475040435791,0.0012182889227706083,7.228013390508079,0.2510051297002421,0.7512000203132629,0.326200008392334
DDIM-50,final_10k,Base-DDIM,step_ablation,none,50,10000,0.026121304082870483,0,0.0,0,29.78874219260655,0.016279945373535155,0.0012097124351574161,7.322236597014682,0.25968149895747844,0.7767000198364258,0.3061000108718872
DDIM-20,final_10k,Base-DDIM,step_ablation,none,20,10000,0.010856395244598388,0,0.0,0,32.42796003651881,0.017396609783172607,0.0011581005999952605,7.316927561879784,0.18321905965392665,0.833899974822998,0.24310000240802765
DDIM-10,final_10k,Base-DDIM,step_ablation,none,10,10000,0.005783664274215698,0,0.0,0,40.89385370744952,0.02211547613143921,0.0011352544562584358,7.023516252728766,0.11469735329339094,0.8931000232696533,0.14079999923706055
DDIM-8,final_10k,Base-DDIM,step_ablation,none,8,10000,0.004768835186958313,0,0.0,0,47.124283834790845,0.02586587905883789,0.0011551545669070654,6.829572825811399,0.11683789877610497,0.9031999707221985,0.10199999809265137
DDIM-4,final_10k,Base-DDIM,step_ablation,none,4,10000,0.0026922486782073973,0,0.0,0,103.27981537228578,0.07252320766448975,0.0025670470103166367,5.2912463115498,0.12452973171625757,0.8525000214576721,0.014800000004470348
DDIM-2,final_10k,Base-DDIM,step_ablation,none,2,10000,0.001657853889465332,0,0.0,0,188.84237050829955,0.15166831016540527,0.003286124597498109,3.7342349745896213,0.08500035572342923,0.40070000290870667,0.00139999995008111
DDIM-1,final_10k,Base-DDIM,step_ablation,none,1,10000,0.0012062227964401244,0,0.0,0,325.10674342402626,0.34208586931228635,0.002764424845358239,1.5570000344388908,0.0181941436337531,0.005499999970197678,0.0
LoRA-distill-forward-r4-K8,final_10k,Distill-LoRA,main_K8_forward,distill,8,10000,0.004825164079666138,4,0.0,2,38.484781413631595,0.019522221088409425,0.0010609102989806644,7.1358334604448,0.12459949915501327,0.8700000047683716,0.156700000166893
LoRA-distill-mixed-r4-K8,final_10k,Distill-LoRA,state_ablation_K8,distill,8,10000,0.0048180179595947266,4,0.5,2,38.239032149602,0.019368767738342285,0.0010665082377852488,7.133345549603993,0.1303724226535744,0.871399998664856,0.15889999270439148
LoRA-distill-mixed-r4-K4,final_10k,Distill-LoRA,main_K4_extreme,distill,4,10000,0.002716459798812866,4,0.5,2,68.3363375276059,0.04075003147125244,0.0017151448040891811,6.180310667739043,0.12720209697947157,0.8482000231742859,0.05050000175833702
LoRA-distill-mixed-r4-K2,final_10k,Distill-LoRA,extreme_K2,distill,2,10000,0.0016755241394042968,4,0.5,2,159.1166415513389,0.12977285146713258,0.002915307063331203,3.8504988855288182,0.0782698445838896,0.45089998841285706,0.0015999999595806003
LoRA-distill-mixed-r4-K1,final_10k,Distill-LoRA,extreme_K1,distill,1,10000,0.0012076778173446656,4,0.5,2,326.5653034721396,0.3449164009094238,0.0027881473602384232,1.5495069356786724,0.013792799586483462,0.006000000052154064,0.0
LoRA-naive-eps-r4-K8,final_10k,Naive-LoRA,naive_control_K8,naive_eps,8,10000,0.004807633185386658,4,0.0,0,46.1624335642631,0.026145226955413818,0.0010955773623141404,6.7589916806131445,0.15909536243572484,0.9142000079154968,0.10180000215768814
LoRA-naive-eps-r4-K4,final_10k,Naive-LoRA,naive_control_K4,naive_eps,4,10000,0.0027185323238372804,4,0.0,0,106.7871659326072,0.08041980266571044,0.002616842592012649,4.901922449925219,0.1008158070977618,0.8690000176429749,0.01360000018030405
LoRA-distill-forward-r2-K8,final_10k,Distill-LoRA,rank_ablation_r2_K8,distill,8,10000,0.004814906883239746,2,0.0,2,38.324838931957174,0.01947591543197632,0.0010755163754912176,7.117818737580599,0.11826888409992414,0.8705999851226807,0.15189999341964722
LoRA-distill-forward-r8-K8,final_10k,Distill-LoRA,rank_ablation_r8_K8,distill,8,10000,0.00482476921081543,8,0.0,2,37.665574632034804,0.01898932933807373,0.0010357979125493364,7.168161285041147,0.12140682471601441,0.863099992275238,0.1623000055551529
