method,eval_tier,family,role,loss_type,steps,num_images,time_per_image_s,lora_rank,mix_prob,teacher_substeps,fid,kid_mean,kid_std,is_mean,is_std,precision,recall,speedup_vs_largest_ddim,speedup_vs_ddpm1000_ref
DDIM-100,final_10k,Base-DDIM,step_ablation,none,100,10000,0.05150405797958374,0,0.0,0,29.328191103049335,0.0159475040435791,0.0012182889227706083,7.228013390508079,0.2510051297002421,0.7512000203132629,0.326200008392334,,13.091545330259919
DDIM-50,final_10k,Base-DDIM,step_ablation,none,50,10000,0.026121304082870483,0,0.0,0,29.78874219260655,0.016279945373535155,0.0012097124351574161,7.322236597014682,0.25968149895747844,0.7767000198364258,0.3061000108718872,,25.81294209480984
DDIM-20,final_10k,Base-DDIM,step_ablation,none,20,10000,0.010856395244598388,0,0.0,0,32.42796003651881,0.017396609783172607,0.0011581005999952605,7.316927561879784,0.18321905965392665,0.833899974822998,0.24310000240802765,,62.107881533471094
DDIM-10,final_10k,Base-DDIM,step_ablation,none,10,10000,0.005783664274215698,0,0.0,0,40.89385370744952,0.02211547613143921,0.0011352544562584358,7.023516252728766,0.11469735329339094,0.8931000232696533,0.14079999923706055,,116.5814054487958
DDIM-8,final_10k,Base-DDIM,step_ablation,none,8,10000,0.004768835186958313,0,0.0,0,47.124283834790845,0.02586587905883789,0.0011551545669070654,6.829572825811399,0.11683789877610497,0.9031999707221985,0.10199999809265137,,141.39044091438208
DDIM-4,final_10k,Base-DDIM,step_ablation,none,4,10000,0.0026922486782073973,0,0.0,0,103.27981537228578,0.07252320766448975,0.0025670470103166367,5.2912463115498,0.12452973171625757,0.8525000214576721,0.014800000004470348,,250.447781882099
DDIM-2,final_10k,Base-DDIM,step_ablation,none,2,10000,0.001657853889465332,0,0.0,0,188.84237050829955,0.15166831016540527,0.003286124597498109,3.7342349745896213,0.08500035572342923,0.40070000290870667,0.00139999995008111,,406.7111788418888
DDIM-1,final_10k,Base-DDIM,step_ablation,none,1,10000,0.0012062227964401244,0,0.0,0,325.10674342402626,0.34208586931228635,0.002764424845358239,1.5570000344388908,0.0181941436337531,0.005499999970197678,0.0,,558.9910186758152
LoRA-distill-forward-r4-K8,final_10k,Distill-LoRA,main_K8_forward,distill,8,10000,0.004825164079666138,4,0.0,2,38.484781413631595,0.019522221088409425,0.0010609102989806644,7.1358334604448,0.12459949915501327,0.8700000047683716,0.156700000166893,,139.7398510391608
LoRA-distill-mixed-r4-K8,final_10k,Distill-LoRA,state_ablation_K8,distill,8,10000,0.0048180179595947266,4,0.5,2,38.239032149602,0.019368767738342285,0.0010665082377852488,7.133345549603993,0.1303724226535744,0.871399998664856,0.15889999270439148,,139.94711422552948
LoRA-distill-mixed-r4-K4,final_10k,Distill-LoRA,main_K4_extreme,distill,4,10000,0.002716459798812866,4,0.5,2,68.3363375276059,0.04075003147125244,0.0017151448040891811,6.180310667739043,0.12720209697947157,0.8482000231742859,0.05050000175833702,,248.2156040103081
LoRA-distill-mixed-r4-K2,final_10k,Distill-LoRA,extreme_K2,distill,2,10000,0.0016755241394042968,4,0.5,2,159.1166415513389,0.12977285146713258,0.002915307063331203,3.8504988855288182,0.0782698445838896,0.45089998841285706,0.0015999999595806003,,402.42196091056
LoRA-distill-mixed-r4-K1,final_10k,Distill-LoRA,extreme_K1,distill,1,10000,0.0012076778173446656,4,0.5,2,326.5653034721396,0.3449164009094238,0.0027881473602384232,1.5495069356786724,0.013792799586483462,0.006000000052154064,0.0,,558.3175413576573
LoRA-naive-eps-r4-K8,final_10k,Naive-LoRA,naive_control_K8,naive_eps,8,10000,0.004807633185386658,4,0.0,0,46.1624335642631,0.026145226955413818,0.0010955773623141404,6.7589916806131445,0.15909536243572484,0.9142000079154968,0.10180000215768814,,140.249408332892
LoRA-naive-eps-r4-K4,final_10k,Naive-LoRA,naive_control_K4,naive_eps,4,10000,0.0027185323238372804,4,0.0,0,106.7871659326072,0.08041980266571044,0.002616842592012649,4.901922449925219,0.1008158070977618,0.8690000176429749,0.01360000018030405,,248.02637210519126
LoRA-distill-forward-r2-K8,final_10k,Distill-LoRA,rank_ablation_r2_K8,distill,8,10000,0.004814906883239746,2,0.0,2,38.324838931957174,0.01947591543197632,0.0010755163754912176,7.117818737580599,0.11826888409992414,0.8705999851226807,0.15189999341964722,,140.03753885233385
LoRA-distill-forward-r8-K8,final_10k,Distill-LoRA,rank_ablation_r8_K8,distill,8,10000,0.00482476921081543,8,0.0,2,37.665574632034804,0.01898932933807373,0.0010357979125493364,7.168161285041147,0.12140682471601441,0.863099992275238,0.1623000055551529,,139.75128763062602
DDPM-1000*,ddpm_reference,Base-DDPM,small_reference,ddpm_eps,1000,1000,0.6742677097320556,0,0.0,0,67.3426812491793,0.02072462797164917,4.7467670904146106e-05,6.260198537874629,0.48521562973695853,0.847000002861023,0.38100001215934753,,1.0
